Date,Oil_(BBL/M)
15-08-2010,2068
15-09-2010,7403
15-10-2010,6259
15-11-2010,7764
15-12-2010,6011
15-01-2011,3922
15-02-2011,2759
15-03-2011,2805
15-04-2011,1704
15-05-2011,2287
15-06-2011,1921
15-07-2011,1307
15-08-2011,830
15-09-2011,1899
15-10-2011,1775
15-11-2011,1093
15-12-2011,1377
15-01-2012,1202
15-02-2012,1022
15-03-2012,931
15-04-2012,716
15-05-2012,931
15-06-2012,857
15-07-2012,598
15-08-2012,425
15-09-2012,791
15-10-2012,773
15-11-2012,777
15-12-2012,606
15-01-2013,568
15-02-2013,500
15-03-2013,406
15-04-2013,684
15-05-2013,640
15-06-2013,571
15-07-2013,509
15-08-2013,429
15-09-2013,313
15-10-2013,322
15-11-2013,321
15-12-2013,321
15-01-2014,509
15-02-2014,285
15-03-2014,325
15-04-2014,487
15-05-2014,266
15-06-2014,307
15-07-2014,315
15-08-2014,388
15-09-2014,353
15-10-2014,314
15-11-2014,298
15-12-2014,243
15-01-2015,247
15-02-2015,248
15-03-2015,232
15-04-2015,230
15-05-2015,200
15-06-2015,251
15-07-2015,247
15-08-2015,255
15-09-2015,211
15-10-2015,208
15-11-2015,205
15-12-2015,192
15-01-2016,189
15-02-2016,196
15-03-2016,203
15-04-2016,208
15-05-2016,196
15-06-2016,183
15-07-2016,157
15-08-2016,189
15-09-2016,188
15-10-2016,158
15-11-2016,159
15-12-2016,196
15-01-2017,155
15-02-2017,200
15-03-2017,166
15-04-2017,153
15-05-2017,163
15-06-2017,139
15-07-2017,149
15-08-2017,198
15-09-2017,134
15-10-2017,159
15-11-2017,119
15-12-2017,134
15-01-2018,162
15-02-2018,135
15-03-2018,192
15-04-2018,201
15-05-2018,207
15-06-2018,138
15-07-2018,159
15-08-2018,124
15-09-2018,147
15-10-2018,102
15-11-2018,87
15-12-2018,119
15-01-2019,111
15-02-2019,107
15-03-2019,120
15-04-2019,107
15-05-2019,120
15-06-2019,117
15-07-2019,181
15-08-2019,124
15-09-2019,80
15-10-2019,113
15-11-2019,124
15-12-2019,137
15-01-2020,173
15-02-2020,145
15-03-2020,154
15-04-2020,160
15-05-2020,144
15-06-2020,57
15-07-2020,104
15-08-2020,111
15-09-2020,143
15-10-2020,155
15-11-2020,68
15-12-2020,274
15-01-2021,100
15-02-2021,38
15-03-2021,76
15-04-2021,126
15-05-2021,152
15-06-2021,193
15-07-2021,171
15-08-2021,276
15-09-2021,114
15-10-2021,150
15-11-2021,143
15-12-2021,142
